,Car Name,Overall
864,Mercedes-Benz C-Class C 300,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
865,Mercedes-Benz C-Class C 300 4MATIC,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
866,Mercedes-Benz C-Class C 300 4MATIC,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
867,Mercedes-Benz C-Class C 300 4MATIC,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
868,Mercedes-Benz CLA-Class AMG CLA 35,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
869,Mercedes-Benz CLA-Class AMG CLA 45,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'High power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
870,Mercedes-Benz CLA-Class CLA 250,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
871,Mercedes-Benz CLA-Class CLA 250 4MATIC,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
872,Mercedes-Benz CLS-Class AMG CLS 53,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
873,Mercedes-Benz CLS-Class CLS 450,"['Average economy', 'Expensive', 'Larger Engine', 'High power', 'Very long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
874,Mercedes-Benz CLS-Class CLS 450 4MATIC,"['Average economy', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
875,Mercedes-Benz E-Class AMG E 53,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
876,Mercedes-Benz E-Class AMG E 53,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
877,Mercedes-Benz E-Class AMG E 53,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
878,Mercedes-Benz E-Class AMG E 63 S,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Estate']"
879,Mercedes-Benz E-Class AMG E 63 S,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
880,Mercedes-Benz E-Class E 350,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
881,Mercedes-Benz E-Class E 350 4MATIC,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
882,Mercedes-Benz E-Class E 450,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
883,Mercedes-Benz E-Class E 450,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
884,Mercedes-Benz E-Class E 450 4MATIC,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
885,Mercedes-Benz E-Class E 450 4MATIC,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
886,Mercedes-Benz E-Class E 450 4MATIC,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
887,Mercedes-Benz E-Class E 450 AMG Line 4MATIC,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'Estate']"
888,Mercedes-Benz E-Class E 450 Luxury 4MATIC,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'Estate']"
889,Mercedes-Benz E-Class E 450 Sport 4MATIC,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'Estate']"
890,Mercedes-Benz G-Class AMG G 63,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
891,Mercedes-Benz G-Class G 550,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
892,Mercedes-Benz GLA-Class GLA 250,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
893,Mercedes-Benz GLA-Class GLA 250 4MATIC,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
894,Mercedes-Benz GLB-Class GLB 250,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
895,Mercedes-Benz GLB-Class GLB 250 4MATIC,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
896,Mercedes-Benz GLC-Class AMG GLC 43,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
897,Mercedes-Benz GLC-Class AMG GLC 63,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
898,Mercedes-Benz GLC-Class GLC 300,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
899,Mercedes-Benz GLC-Class GLC 300 4MATIC,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
900,Mercedes-Benz GLC-Class GLC 350e 4MATIC,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
901,Mercedes-Benz GLC-Class Coupe AMG GLC 43,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
902,Mercedes-Benz GLC-Class Coupe AMG GLC 63,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
903,Mercedes-Benz GLC-Class Coupe AMG GLC 63 S,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
904,Mercedes-Benz GLC-Class Coupe GLC 300 4MATIC,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
905,Mercedes-Benz GLE-Class GLE 350,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
906,Mercedes-Benz GLE-Class GLE 350 4MATIC,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
907,Mercedes-Benz GLE-Class GLE 450 4MATIC,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
908,Mercedes-Benz GLE-Class GLE 580 4MATIC,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
909,Mercedes-Benz GLS-Class GLS 450 4MATIC,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
910,Mercedes-Benz GLS-Class GLS 580 4MATIC,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
911,Mercedes-Benz Maybach S 560 4MATIC,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
912,Mercedes-Benz Maybach S 650,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
913,"Mercedes-Benz Metris 126"" WB Cargo","['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '2-seater', 'automatic', 'Minivan']"
914,"Mercedes-Benz Metris 135"" WB Cargo","['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '2-seater', 'automatic', 'Minivan']"
915,Mercedes-Benz Metris Passenger,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'Minivan']"
916,Mercedes-Benz Metris Worker Cargo,"['Uneconomical', 'Cheap', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '2-seater', 'automatic', 'Minivan']"
917,Mercedes-Benz Metris Worker Passenger,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'Minivan']"
918,Mercedes-Benz S-Class AMG S 63,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
919,Mercedes-Benz S-Class AMG S 63,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
920,Mercedes-Benz S-Class AMG S 63,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
921,Mercedes-Benz S-Class AMG S 65,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
922,Mercedes-Benz S-Class S 450,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
923,Mercedes-Benz S-Class S 450 4MATIC,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
924,Mercedes-Benz S-Class S 560,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
925,Mercedes-Benz S-Class S 560,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
926,Mercedes-Benz S-Class S 560 4MATIC,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
927,Mercedes-Benz S-Class S 560 4MATIC,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
928,Mercedes-Benz S-Class S 560e,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
929,Mercedes-Benz SL-Class SL 450,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '2-doored', '2-seater', 'automatic', 'Convertible']"
930,Mercedes-Benz SL-Class SL 550,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'automatic', 'Convertible']"
931,Mercedes-Benz SLC-Class AMG SLC 43,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'automatic', 'Convertible']"
932,Mercedes-Benz SLC-Class SLC 300,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'automatic', 'Convertible']"
933,MINI Clubman Cooper S,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Lower power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Hatchback']"
934,MINI Clubman Cooper S ALL4,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Lower power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Hatchback']"
935,MINI Clubman John Cooper Works ALL4,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Hatchback']"
936,MINI Convertible Cooper,"['Average economy', 'Cheap', 'Small Engine', 'Lower power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
937,MINI Convertible Cooper S,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Lower power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
938,MINI Convertible John Cooper Works,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
939,MINI Countryman Cooper,"['Average economy', 'Cheap', 'Small Engine', 'Lower power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Estate']"
940,MINI Countryman Cooper ALL4,"['Average economy', 'Average Priced', 'Small Engine', 'Lower power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Estate']"
941,MINI Countryman Cooper S,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Lower power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Estate']"
942,MINI Countryman Cooper S ALL4,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Lower power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Estate']"
943,MINI Countryman Cooper S E ALL4,"['Average economy', 'Average Priced', 'Small Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Estate']"
944,MINI Countryman John Cooper Works ALL4,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Estate']"
945,MINI Hardtop 2 Door Cooper,"['Average economy', 'Cheap', 'Small Engine', 'Lower power', 'Average range', 'Unleaded', '3-doored', '4-seater', 'automatic', 'Hatchback']"
946,MINI Hardtop 2 Door Cooper S,"['Average economy', 'Cheap', 'Average Sized Engine', 'Lower power', 'Average range', 'Unleaded', '3-doored', '4-seater', 'automatic', 'Hatchback']"
947,MINI Hardtop 2 Door John Cooper Works,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '3-doored', '4-seater', 'automatic', 'Hatchback']"
948,MINI Hardtop 4 Door Cooper,"['Average economy', 'Cheap', 'Small Engine', 'Lower power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Hatchback']"
949,MINI Hardtop 4 Door Cooper S,"['Average economy', 'Cheap', 'Average Sized Engine', 'Lower power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Hatchback']"
950,Nissan 370Z Base,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'manual', 'Coupe']"
951,Nissan 370Z Base,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'automatic', 'Coupe']"
952,Nissan 370Z NISMO,"['Uneconomical', 'Average Priced', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'automatic', 'Coupe']"
953,Nissan 370Z NISMO,"['Uneconomical', 'Average Priced', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'manual', 'Coupe']"
954,Nissan 370Z Sport,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'manual', 'Coupe']"
955,Nissan 370Z Sport,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'automatic', 'Coupe']"
956,Nissan 370Z Sport Touring,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'automatic', 'Coupe']"
957,Nissan GT-R NISMO,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
958,Nissan GT-R Premium,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
959,Nissan GT-R Track Edition,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
960,Nissan Pathfinder Platinum,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
961,Nissan Pathfinder Platinum,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
962,Nissan Pathfinder S,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
963,Nissan Pathfinder S,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
964,Nissan Pathfinder SL,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
965,Nissan Pathfinder SL,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
966,Nissan Pathfinder SV,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
967,Nissan Pathfinder SV,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
968,Polestar 1 Base,"['Average economy', 'Expensive', 'Average Sized Engine', 'Very high power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
969,Porsche 718 Boxster Base,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'manual', 'Convertible']"
970,Porsche 718 Boxster S,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'manual', 'Convertible']"
971,Porsche 718 Boxster Spyder,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'manual', 'Convertible']"
972,Porsche 718 Boxster T,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'manual', 'Convertible']"
973,Porsche 718 Cayman Base,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'manual', 'Coupe']"
974,Porsche 718 Cayman GT4,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'manual', 'Coupe']"
975,Porsche 718 Cayman S,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'manual', 'Coupe']"
976,Porsche 718 Cayman T,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'manual', 'Coupe']"
977,Porsche 911 Carrera,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
978,Porsche 911 Carrera,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
979,Porsche 911 Carrera 4,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
980,Porsche 911 Carrera 4,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
981,Porsche 911 Carrera 4S,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
982,Porsche 911 Carrera 4S,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
983,Porsche 911 Carrera S,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
984,Porsche 911 Carrera S,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
985,Porsche Cayenne Base,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
986,Porsche Cayenne E-Hybrid,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
987,Porsche Cayenne S,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
988,Porsche Cayenne Turbo,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
989,Porsche Cayenne Turbo S E-Hybrid,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
990,Porsche Cayenne Coupe Base,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '4-seater', 'automatic', 'SUV']"
991,Porsche Cayenne Coupe E-Hybrid,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '5-doored', '4-seater', 'automatic', 'SUV']"
992,Porsche Cayenne Coupe S,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Long range', 'Unleaded', '5-doored', '4-seater', 'automatic', 'SUV']"
993,Porsche Cayenne Coupe Turbo,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '5-doored', '4-seater', 'automatic', 'SUV']"
994,Porsche Cayenne Coupe Turbo S E-Hybrid,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '5-doored', '4-seater', 'automatic', 'SUV']"
995,Porsche Macan Base,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
996,Porsche Macan GTS,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
997,Porsche Macan S,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
998,Porsche Macan Turbo,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
999,Porsche Panamera 10 Years Edition,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '4-seater', 'automatic', 'Saloon']"
1000,Porsche Panamera 4,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '4-seater', 'automatic', 'Saloon']"
1001,Porsche Panamera 4 10 Years Edition,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '4-seater', 'automatic', 'Saloon']"
1002,Porsche Panamera 4 E-Hybrid,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Long range', 'Unleaded', '4-doored', '4-seater', 'automatic', 'Saloon']"
1003,Porsche Panamera 4 E-Hybrid 10 Years Edition,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Long range', 'Unleaded', '4-doored', '4-seater', 'automatic', 'Saloon']"
1004,Porsche Panamera 4 E-Hybrid Executive,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Long range', 'Unleaded', '4-doored', '4-seater', 'automatic', 'Saloon']"
1005,Porsche Panamera 4 E-Hybrid Sport Turismo,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Estate']"
1006,Porsche Panamera 4 Executive,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '4-seater', 'automatic', 'Saloon']"
1007,Porsche Panamera 4 Sport Turismo,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Estate']"
1008,Porsche Panamera 4S,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Long range', 'Unleaded', '4-doored', '4-seater', 'automatic', 'Saloon']"
1009,Porsche Panamera 4S Executive,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Long range', 'Unleaded', '4-doored', '4-seater', 'automatic', 'Saloon']"
1010,Porsche Panamera 4S Sport Turismo,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Estate']"
1011,Porsche Panamera Base,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '4-seater', 'automatic', 'Saloon']"
1012,Porsche Panamera GTS,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Long range', 'Unleaded', '4-doored', '4-seater', 'automatic', 'Saloon']"
1013,Porsche Panamera GTS Sport Turismo,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Estate']"
1014,Porsche Panamera Turbo,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Long range', 'Unleaded', '4-doored', '4-seater', 'automatic', 'Saloon']"
